2025-12-11 15:54:41 | INFO     | utils.logger | ============================================================
2025-12-11 15:54:41 | INFO     | utils.logger | Logging initialized at 2025-12-11T15:54:41.435619
2025-12-11 15:54:41 | INFO     | utils.logger | Log file: logs\app.log
2025-12-11 15:54:41 | INFO     | utils.logger | ============================================================
2025-12-11 15:54:42 | DEBUG    | LiteLLM | Using AiohttpTransport...
2025-12-11 15:54:42 | DEBUG    | LiteLLM | Creating AiohttpTransport...
2025-12-11 15:54:42 | DEBUG    | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2025-12-11 15:54:43 | DEBUG    | LiteLLM | [Non-Blocking] Unable to import GenericAPILogger - LiteLLM Enterprise Feature - No module named 'litellm_enterprise'
2025-12-11 15:54:43 | DEBUG    | LiteLLM | Using AiohttpTransport...
2025-12-11 15:54:43 | DEBUG    | LiteLLM | Creating AiohttpTransport...
2025-12-11 15:54:43 | DEBUG    | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2025-12-11 15:54:43 | DEBUG    | LiteLLM | Using AiohttpTransport...
2025-12-11 15:54:43 | DEBUG    | LiteLLM | Creating AiohttpTransport...
2025-12-11 15:54:43 | DEBUG    | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2025-12-11 15:54:43 | DEBUG    | LiteLLM | Using AiohttpTransport...
2025-12-11 15:54:43 | DEBUG    | LiteLLM | Creating AiohttpTransport...
2025-12-11 15:54:43 | DEBUG    | LiteLLM | NEW SESSION: Creating new ClientSession (no shared session provided)
2025-12-11 15:54:43 | DEBUG    | agent.tools | Added to path: C:\Users\steel\turing_projects\support_bot_V2\anplien-AE.3.5\isp-customer-service\crm_service\src
2025-12-11 15:54:43 | DEBUG    | agent.tools | Added to path: C:\Users\steel\turing_projects\support_bot_V2\anplien-AE.3.5\isp-customer-service\network_diagnostic_service\src
2025-12-11 15:54:44 | INFO     | rag.embeddings | EmbeddingManager initialized (lazy): sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2025-12-11 15:54:48 | INFO     | rag.embeddings | Loading embedding model: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2025-12-11 15:54:48 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: sentence-transformers/paraphrase-multilingual-mpnet-base-v2
2025-12-11 15:54:52 | INFO     | rag.embeddings | Embedding model loaded successfully
2025-12-11 15:54:52 | DEBUG    | faiss.loader | Environment variable FAISS_OPT_LEVEL is not set, so let's pick the instruction set according to the current CPU
2025-12-11 15:54:52 | INFO     | faiss.loader | Loading faiss with AVX2 support.
2025-12-11 15:54:52 | INFO     | faiss.loader | Successfully loaded faiss with AVX2 support.
2025-12-11 15:54:52 | INFO     | rag.vector_store | FAISS index created: flatl2
2025-12-11 15:54:52 | INFO     | rag.vector_store | VectorStore initialized: flatl2 (768d)
2025-12-11 15:54:52 | INFO     | rag.retriever | Retriever initialized (top_k=3, threshold=0.7)
2025-12-11 15:54:52 | INFO     | rag.vector_store | Vector store loaded: production (75 documents)
2025-12-11 15:54:52 | INFO     | rag.retriever | Retriever loaded: production
2025-12-11 15:56:37 | DEBUG    | asyncio | Using selector: SelectSelector
2025-12-11 15:56:50 | INFO     | utils.logger | ============================================================
2025-12-11 15:56:50 | INFO     | utils.logger | Logging initialized at 2025-12-11T15:56:50.650799
2025-12-11 15:56:50 | INFO     | utils.logger | Log file: logs\app.log
2025-12-11 15:56:50 | INFO     | utils.logger | ============================================================
